flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,packetTotalCount
1438318803243,0,127.86.212.185,1
1438318803243,0,91.73.190.167,1
1438318803243,0,193.248.213.206,1
1438318803244,0,163.7.241.41,1
1438318803244,0,202.186.196.1,1
1438318803244,0,93.239.93.30,1
1438318803244,0,78.88.126.254,1
1438318803244,0,136.20.145.30,1
1438318803244,0,95.159.61.216,1
1438318803245,0,26.250.228.10,1
1438318803245,0,125.88.130.221,1
1438318803245,0,201.126.47.158,1
1438318803245,0,182.55.13.53,1
1438318803246,0,167.70.143.214,1
1438318803247,0,83.243.24.91,1
1438318803247,0,136.67.212.166,1
1438318803247,0,91.223.137.136,1
1438318803247,0,170.116.73.86,1
1438318803247,0,127.253.149.102,1
1438318803247,0,59.98.93.237,1
1438318803247,0,80.42.59.132,1
1438318803246,1,105.200.0.53,5
1438318803244,3,197.93.158.43,2
1438318803248,0,184.140.163.41,1
1438318803248,0,76.88.132.177,1
1438318803248,0,76.38.244.95,1
1438318803248,0,120.238.60.252,1
1438318803248,0,126.249.252.20,1
1438318803249,0,150.173.29.4,1
1438318803249,0,81.109.236.38,1
1438318803249,0,123.201.248.73,1
1438318803249,0,93.235.2.194,1
1438318803249,0,150.173.255.149,1
1438318803249,0,117.124.181.133,1
1438318803250,0,13b2:46b0:ee17:4e68:eb95:da5b:255c:c7d1,1
1438318803250,0,203.188.60.40,1
1438318803250,0,95.60.81.227,1
1438318803250,0,134.215.241.247,1
1438318803250,0,102.47.169.66,1
1438318803251,0,191.80.83.49,1
1438318803251,0,163.180.212.181,1
1438318803251,0,106.236.207.93,1
1438318803251,0,174.76.23.176,1
1438318803252,0,124.111.135.29,1
1438318803252,0,173.10.123.95,1
1438318803252,0,99.160.218.255,1
1438318803253,0,221.22.136.31,1
1438318803253,0,1e12:92d2:4d7d:1b5f:f3b3:f02b:6f99:958c,1
1438318803253,0,91.33.209.21,1
1438318803254,0,82.107.254.75,1
1438318803254,0,183.36.135.121,1
1438318803254,0,169.199.171.62,1
1438318803254,0,103.5.32.246,1
1438318803254,0,203.155.41.109,1
1438318803254,0,201.126.47.177,1
1438318803254,0,162.4.164.54,1
1438318803254,0,9.215.173.236,1
1438318803254,0,56.99.156.142,1
1438318803254,0,16.11.75.29,1
1438318803254,0,1.216.22.66,1
1438318803255,0,163.45.202.56,1
1438318803255,0,102.29.52.96,1
1438318803255,0,162.89.139.144,1
1438318803255,0,201.126.60.251,1
1438318803255,0,104.240.78.203,1
1438318803255,0,210.223.55.24,1
1438318803256,0,3.29.139.18,1
1438318803256,0,15.142.229.187,1
1438318803256,0,107.62.91.107,1
1438318803256,0,56.214.215.3,1
1438318803256,0,65.85.130.104,1
1438318803256,0,203.12.193.12,1
1438318803256,0,127.179.25.213,1
1438318803256,0,216.151.178.231,1
1438318803257,0,17.57.143.148,1
1438318803257,0,77.235.229.6,1
1438318803257,0,223.186.10.76,1
1438318803257,0,184.134.240.228,1
1438318803257,0,72.188.194.134,1
1438318803257,0,13b5:5fb:e1bc:4f5c:7983:99a8:c82:8656,1
1438318803257,0,41.201.23.3,1
1438318803257,0,9.250.75.202,1
1438318803257,0,134.215.50.142,1
1438318803257,0,220.115.81.214,1
1438318803257,0,32.74.25.167,1
1438318803258,0,173.166.218.227,1
1438318803258,0,95.148.194.185,1
1438318803259,0,27.107.29.207,1
1438318803259,0,98.126.85.188,1
1438318803259,0,185.230.202.197,1
1438318803259,0,70.161.178.86,1
1438318803259,0,167.129.227.5,1
1438318803259,0,19.153.179.214,1
1438318803259,0,64.166.202.31,1
1438318803260,0,117.186.184.166,1
1438318803260,0,214.34.208.49,1
1438318803260,0,81.48.145.137,1
1438318803260,0,84.76.80.131,1
1438318803260,0,209.75.174.243,1
1438318803260,0,105.193.189.49,1
1438318803260,0,15.174.181.183,1
1438318803260,0,109.102.1.51,1
1438318803260,0,5.42.105.110,1
1438318803260,0,209.149.137.52,1
1438318803260,0,102.26.144.187,1
1438318803260,0,175.118.10.60,1
1438318803260,0,86.87.45.75,1
1438318803260,0,56.45.119.249,1
1438318803260,0,123.202.66.27,1
1438318803261,0,104.73.226.40,1
1438318803261,0,214.213.13.17,1
1438318803261,0,29.210.45.243,1
1438318803261,0,86.178.33.47,1
1438318803261,0,77.47.44.24,1
1438318803261,0,148.187.199.154,1
1438318803261,0,88.237.12.126,1
1438318803261,0,216.234.228.201,1
1438318803261,0,42.18.135.88,1
1438318803244,17,18c9:6b77:a40e:6838:4e15:bec3:80:4bc4,30
1438318803262,0,203.133.215.230,1
1438318803262,0,220.200.197.194,1
1438318803262,0,213.99.116.151,1
1438318803263,0,171.35.136.25,1
1438318803263,0,176.48.178.221,1
1438318803263,0,103.222.118.93,1
1438318803263,0,24.185.113.162,1
1438318803263,0,23.50.175.173,1
1438318803263,0,217.216.165.220,1
1438318803251,12,200.15.135.204,36
1438318803264,0,0.221.207.33,1
1438318803264,0,85.11.242.147,1
1438318803264,0,19.156.216.97,1
1438318803264,0,92.103.11.234,1
1438318803264,0,1e12:92d2:4cbe:f94b:40ed:4148:b1e0:2f2,1
1438318803265,0,94.217.113.109,1
1438318803265,0,63.206.155.92,1
1438318803265,0,76.154.224.82,1
1438318803265,0,212.81.177.90,1
1438318803265,0,112.120.9.254,1
1438318803265,0,221.211.27.169,1
1438318803265,0,162.64.17.186,1
1438318803265,0,78.70.163.243,1
1438318803265,0,123.207.143.60,1
1438318803266,0,12.7.114.200,1
1438318803266,0,15.231.225.194,1
1438318803266,0,12.31.0.74,1
1438318803267,0,78.211.75.62,1
1438318803267,0,165.107.194.119,1
1438318803267,0,110.129.55.15,1
1438318803267,0,201.126.43.205,1
1438318803267,0,68.213.243.84,1
1438318803267,0,2.16.18.25,1
1438318803268,0,172.147.184.218,1
1438318803268,0,213.155.2.154,1
1438318803268,0,145.187.80.241,1
1438318803269,0,136.53.29.17,1
1438318803269,0,1.150.165.148,1
1438318803269,0,104.1.16.178,1
1438318803269,0,5.162.86.170,1
1438318803270,0,135.244.223.191,1
1438318803270,0,136.67.148.75,1
1438318803270,0,160.156.191.112,1
1438318803270,0,182.55.199.237,1
1438318803270,0,42.201.180.8,1
1438318803270,0,76.21.57.149,1
1438318803270,0,90.251.121.148,1
1438318803270,0,108.225.244.213,1
1438318803271,0,191.105.236.117,1
1438318803271,0,117.197.157.198,1
1438318803271,0,202.83.143.244,1
1438318803271,0,121.66.117.239,1
1438318803271,0,48.167.189.165,1
1438318803271,0,164.49.110.47,1
1438318803271,0,90.27.87.120,1
1438318803271,0,211.57.151.63,1
1438318803272,0,166.41.54.150,1
1438318803272,0,200.60.131.123,1
1438318803272,0,171.28.155.35,1
1438318803273,0,75.19.154.126,1
1438318803273,0,99.20.56.4,1
1438318803273,0,102.0.3.216,1
1438318803270,3,0.28.200.103,2
1438318803273,0,122.207.20.102,1
1438318803273,0,84.172.246.219,1
1438318803273,0,213.120.87.162,1
1438318803273,0,0.107.54.113,1
1438318803273,0,16.37.49.117,1
1438318803274,0,102.239.95.119,2
1438318803274,0,75.99.126.172,1
