flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,protocolIdentifier,packetTotalCount
1438318803243,0,201.126.50.225,64.178.191.234,1,1
1438318803243,0,201.126.50.225,2.5.121.68,1,1
1438318803243,0,127.86.212.185,201.126.50.225,1,1
1438318803243,0,201.126.50.225,106.231.205.28,1,1
1438318803243,0,201.126.50.225,165.171.59.205,1,1
1438318803243,0,91.73.190.167,201.126.50.225,1,1
1438318803243,0,201.126.50.225,91.34.116.160,1,1
1438318803243,0,193.248.213.206,201.126.50.225,1,1
1438318803243,0,201.126.50.225,84.149.70.121,1,1
1438318803243,0,201.126.50.225,70.183.160.106,1,1
1438318803243,0,201.126.50.225,109.188.175.141,1,1
1438318803244,0,201.126.50.225,68.179.222.15,1,1
1438318803244,0,163.7.241.41,134.215.241.247,6,1
1438318803244,0,201.126.42.253,202.237.206.73,17,1
1438318803244,0,171.43.210.184,145.182.96.138,6,1
1438318803244,0,202.186.196.1,201.126.50.225,1,1
1438318803244,0,201.126.50.225,65.73.186.182,1,1
1438318803244,0,93.239.93.30,201.126.50.225,1,1
1438318803244,0,201.126.50.225,41.26.59.0,1,1
1438318803244,0,78.88.126.254,201.126.50.225,1,1
1438318803244,0,136.20.145.30,145.182.101.224,6,1
1438318803244,0,95.159.61.216,201.126.50.225,1,1
1438318803245,0,201.126.50.225,165.143.105.179,1,1
1438318803245,0,26.250.228.10,145.182.102.215,6,1
1438318803245,0,125.88.130.221,145.182.64.207,6,1
1438318803245,0,201.126.47.158,18.123.209.217,6,1
1438318803245,0,134.215.207.21,124.55.79.0,1,1
1438318803245,0,182.55.13.53,126.249.252.136,6,1
1438318803245,0,201.126.50.225,15.162.198.64,1,1
1438318803245,0,201.126.50.225,104.19.18.100,1,1
1438318803245,0,201.126.50.225,171.188.94.132,1,1
1438318803245,0,201.126.50.225,94.85.182.49,1,1
1438318803246,0,201.126.50.225,122.52.6.146,1,1
1438318803246,0,201.126.50.225,202.141.71.222,1,1
1438318803246,0,201.126.50.225,173.55.236.94,1,1
1438318803246,0,201.126.50.225,27.195.229.100,1,1
1438318803246,0,201.126.50.225,69.3.224.195,1,1
1438318803246,0,201.126.50.225,74.131.210.111,1,1
1438318803246,0,201.126.50.225,80.233.33.71,1,1
1438318803246,0,201.126.50.225,210.197.115.30,1,1
1438318803246,0,201.126.50.225,101.168.148.242,1,1
1438318803246,0,201.126.50.225,5.43.190.180,1,1
1438318803246,0,201.126.50.225,191.74.192.118,1,1
1438318803246,0,201.126.50.225,173.28.66.178,1,1
1438318803246,0,103.25.53.67,182.55.158.95,6,1
1438318803246,0,201.126.50.225,106.32.249.234,1,1
1438318803246,0,201.126.50.225,88.105.75.112,1,1
1438318803246,0,201.126.50.225,171.181.196.150,1,1
1438318803246,0,201.126.50.225,103.9.208.149,1,1
1438318803246,0,201.126.50.225,142.14.237.126,1,1
1438318803246,0,167.70.143.214,201.126.50.225,1,1
1438318803246,0,201.126.50.225,66.114.198.29,1,1
1438318803246,0,201.126.50.225,68.113.150.192,1,1
1438318803247,0,201.126.50.225,222.155.115.250,1,1
1438318803247,0,83.243.24.91,145.182.81.90,6,1
1438318803247,0,136.67.212.166,47.145.249.145,6,1
1438318803247,0,88.28.216.111,134.215.247.164,6,1
1438318803247,0,120.238.60.200,145.182.98.140,6,1
1438318803247,0,163.148.88.165,182.55.40.17,6,1
1438318803247,0,91.223.137.136,200.171.190.125,6,1
1438318803247,0,170.116.73.86,201.126.50.225,1,1
1438318803247,0,127.253.149.102,201.126.50.225,1,1
1438318803247,0,59.98.93.237,201.126.50.225,1,1
1438318803247,0,80.42.59.132,145.182.80.113,6,1
1438318803247,0,20.213.44.78,201.126.91.92,6,1
1438318803246,1,105.200.0.53,182.55.11.6,6,5
1438318803244,3,197.93.158.43,201.126.43.205,1,2
1438318803248,0,184.140.163.41,201.126.50.225,1,1
1438318803248,0,76.88.132.177,201.126.50.225,1,1
1438318803248,0,76.38.244.95,201.126.50.225,1,1
1438318803248,0,201.126.50.225,65.112.106.2,1,1
1438318803248,0,201.126.50.225,103.203.132.73,1,1
1438318803248,0,201.126.50.225,164.169.59.21,1,1
1438318803248,0,201.126.50.225,203.235.80.75,1,1
1438318803248,0,201.126.50.225,70.69.102.114,1,1
1438318803248,0,120.238.60.252,145.182.99.177,6,1
1438318803248,0,201.126.50.225,223.32.176.162,1,1
1438318803248,0,201.126.50.225,26.154.192.44,1,1
1438318803248,0,201.126.50.225,67.66.11.17,1,1
1438318803248,0,201.126.50.225,11.235.211.43,1,1
1438318803248,0,201.126.50.225,199.19.37.245,1,1
1438318803248,0,201.126.50.225,215.141.247.249,1,1
1438318803248,0,126.249.252.20,200.55.37.58,6,1
1438318803248,0,201.126.50.225,72.53.228.57,1,1
1438318803248,0,201.126.50.225,161.217.245.38,1,1
1438318803248,0,201.126.50.225,171.149.104.227,1,1
1438318803248,0,201.126.50.225,102.79.107.147,1,1
1438318803248,0,201.126.50.225,125.53.31.198,1,1
1438318803248,0,103.25.53.67,182.55.158.93,6,1
1438318803249,0,201.126.50.225,160.136.203.103,1,1
1438318803249,0,201.126.50.225,70.65.128.18,1,1
1438318803249,0,150.173.29.4,202.90.146.28,1,1
1438318803249,0,81.109.236.38,201.126.50.225,1,1
1438318803249,0,201.126.50.225,89.220.235.168,1,1
1438318803249,0,201.126.50.225,110.218.220.139,1,1
1438318803249,0,201.126.50.225,92.114.204.63,1,1
1438318803249,0,123.201.248.73,134.138.171.2,6,1
1438318803249,0,93.235.2.194,201.126.50.225,1,1
1438318803249,0,103.25.53.67,182.55.158.30,6,1
1438318803249,0,201.126.50.225,110.221.158.94,1,1
1438318803249,0,103.25.53.67,182.55.158.85,6,1
1438318803249,0,150.173.255.149,193.209.189.228,6,1
1438318803249,0,117.124.181.133,201.126.50.225,1,1
1438318803250,0,13b2:46b0:ee17:4e68:eb95:da5b:255c:c7d1,1e12:4c65:fdc1:bcd4:ed65:314e:41b8:663c,17,1
1438318803250,0,201.126.50.225,90.148.222.226,1,1
1438318803250,0,201.126.50.225,198.51.216.17,1,1
1438318803250,0,174.101.27.105,134.215.50.142,17,1
1438318803250,0,201.126.50.225,185.86.238.249,1,1
1438318803250,0,201.126.50.225,165.67.198.125,1,1
1438318803250,0,203.188.60.40,145.182.92.79,6,1
1438318803250,0,201.126.50.225,24.47.159.155,1,1
1438318803250,0,201.126.50.225,162.82.156.127,1,1
1438318803250,0,201.126.50.225,110.249.216.49,1,1
1438318803250,0,95.60.81.227,201.126.50.225,1,1
1438318803250,0,201.126.50.225,203.151.130.6,1,1
1438318803250,0,201.126.50.225,74.129.123.113,1,1
1438318803250,0,201.126.50.225,73.18.83.80,1,1
1438318803250,0,201.126.50.225,209.228.149.180,1,1
1438318803250,0,201.126.50.225,170.31.121.171,1,1
